Код ЦБ;Краткое наименование ;Дата собрания;Дата фиксации реестра;Ставка, рекомендованная по обыкновенным акциям;Ставка, рекомендованная по привилегированным акциям;Ставка, определенная по обыкновенным акциям;Ставка, определенная по привилегированным акциям;Дивиденды за период;Дата появления события в ленте новостей;Источник;ИНН эмитента
SMSB;Смоленскэнергосбыт;23/06/2009;12/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;22/04/2009;Интерфакс;6731048633
TRKR;ТрансКонтейнер;23/06/2009;11/05/2009;19,29 ;-;19,29 ;-;2008;29/04/2009;Интерфакс;7708591995
CHI3;Читинская энергосбытовая компания;23/06/2009;05/05/2009;не выплач.;0,0003206862;не выплач.;0,0003206862;2008;04/05/2009;Интерфакс;7536066430
ILIM;Группа Илим;16/06/2009;06/05/2009;-;-;-;-;2008;27/05/2009;ДКК;7840346335
IKAR;Икар;20/06/2009;06/05/2009;-;-;не выплач.;10;2008;18/05/2009;ДКК;4501000168
IZHZ;Ижорские заводы;24/06/2009;06/05/2009;-;-;не выплач.;-;2008;27/04/2009;Интерфакс;7817005295
KISB;Кировэнергосбыт;24/06/2009;15/05/2009;не выплач.;0,000276681 ;не выплач.;0,000276681 ;2008;15/05/2009;Интерфакс;4345103477
IGST;Ижсталь;22/05/2009;10/04/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;10/04/2009;Интерфакс;1826000655
IGMA;Ижевский машзавод;28/04/2009;23/03/2009;не выплач.;0,00048;не выплач.;0,00048;2008;23/03/2009;Интерфакс;1826001070
KOE3;Коми энергосбытовая компания;24/06/2009;15/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;18/05/2009;Интерфакс;1101301856
IGEN;Интергенерация;30/06/2009;27/05/2009;-;-;-;-;2008;10/06/2009;ДКК;7729604405
ICNM;Марбиофарм;26/06/2009;05/05/2009;не выплач.;-;не выплач.;-;2008;05/06/2009;ДКК;1215001662
MSTT;Мостотрест;24/06/2009;20/05/2009;323;-;323;-;2008;26/05/2009;Интерфакс;7701045732
KUNP;НК Роснефть - Кубаньнефтепродукт;24/06/2009;09/05/2009;не выплач.;44,06 ;не выплач.;44,06 ;2008;06/03/2009;Интерфакс;2309003018
HNPZ;Хабаровский нефтеперерабатывающий завод;29/04/2009;02/04/2009;-;-;не выплач.;1,0;2008;13/03/2009;Интерфакс;2722010040
HLVZ;Ликеро-водочный завод Хабаровский;29/06/2009;28/05/2009;-;-;-;-;2008;10/06/2009;ДКК;2700000560
GZCE;Горнозаводскцемент;17/04/2009;25/02/2009;350;-;-;-;2008;18/03/2009;ДКК;5934010150
SVSB;Свердловэнергосбыт;24/06/2009;15/05/2009;0,03385938;0,03385938;0,03385938;0,03385938;2008;18/05/2009;Интерфакс;6670082105
GZAS;Горьковский завод аппаратуры связи им. А. С. Попова;29/05/2009;24/04/2009;не выплач.;-;не выплач.;-;2008;05/05/2009;ДКК;5257008145
TGKK;ТГК-11;24/06/2009;19/05/2009;не выплач.;-;не выплач.;-;2008;25/05/2009;Интерфакс;5406323202
GURT;Гурт;26/06/2009;01/06/2009;-;-;-;-;2008;15/06/2009;ДКК;4524005290
MTSS;Мобильные ТелеСистемы;25/06/2009;08/05/2009;20,15; -;20,15; -;2008;16/04/2009;Интерфакс;7740000076
LKOH;ЛУКОЙЛ;25/06/2009;08/05/2009;50;-;50;-;2008;23/04/2009;Интерфакс;7708004767
TGKM;Енисейская ТГК (ТГК-13);25/06/2009;14/05/2009;-;-;не выплач.;-;2008;15/05/2009;Интерфакс;1901067718
AVSI;Авиакомпания Сибирь;25/06/2009;20/05/2009;-;-;не выплач.;-;2008;06/05/2009;Интерфакс;5448100656
AVAZ;АВТОВАЗ;25/06/2009;08/05/2009;-;-;не выплач.;-;2008;13/04/2009;Интерфакс;6320002223
TRNS;АК Трансаэро;25/06/2009;11/05/2009;-;-;5;-;2008;29/04/2009;Интерфакс;5701000985
MMBM;Банк Москвы;25/06/2009;14/05/2009;-;-;не выплач.;-;2008;05/05/2009;ДКК;7702000406
BLNG;Белон;25/06/2009;07/05/2009;1,332;-;1,332;-;2008;05/05/2009;Интерфакс;5410102823
GSRB;Газ-Сервис;19/06/2009;27/04/2009;-;-;50,75;-;2008;24/04/2009;Интерфакс;278030985
GPGF;Газпромгеофизика;30/06/2009;02/06/2009;-;-;-;-;2008;10/06/2009;ДКК;7711000723
GNYR;Газпромнефть-Ярославль;18/06/2009;14/05/2009;-;-;-;-;2008;29/05/2009;ДКК;7604140860
IRAO;ИНТЕР РАО ЕЭС;25/06/2009;19/05/2009;не выплач.;-;не выплач.;-;2008;20/05/2009;Интерфакс;2320109650
IKBL;Иркутсккабель;25/06/2009;20/05/2009;-;-;не выплач.;-;2008;21/05/2009;Интерфакс;3821000937
KHEL;Казанский вертолетный завод;25/06/2009;07/05/2009;не выплач.;1;не выплач.;1;2008;22/04/2009;Интерфакс;1656002652
GNIT;Гранит;25/06/2009;07/04/2009;-;-;не выплач.;-;2008;10/04/2009;Интерфакс;7709608867
LOMO;ЛОМО;25/06/2009;08/05/2009;не выплач.;не выплач.;не выплач.;не выплач.;2008;27/05/2009;ДКК;7804002321
MVID;М.видео;25/06/2009;12/05/2009;не выплач.;-;не выплач.;-;2008;06/05/2009;Интерфакс;7707602010
MGNT;Магнит (Краснодар);25/06/2009;08/05/2009;1,46;-;1,46;-;2008;29/04/2009;Интерфакс;2309085638
MGNT;Магнит (Краснодар);25/06/2009;08/05/2009;4,76;-;4,76;-;1 кварт. 2009;29/04/2009;Интерфакс;2309085638
MASZ;Машиностроительный завод Электросталь;25/06/2009;20/05/2009;-;-;не выплач.;-;2008;26/05/2009;Интерфакс;5053005918
NRGP;Норильскгазпром;25/06/2009;15/05/2009;-;-;не выплач.;-;2008;10/06/2009;ДКК;2457002628
OGKB;ОГК-2;25/06/2009;07/05/2009;не выплач.;-;не выплач.;-;2008;15/05/2009;Интерфакс;2607018122
OMOG;Омскоблгаз;25/06/2009;07/05/2009;3,22;3,22;3,22;3,22;2008;08/05/2009;Интерфакс;5503002042
PTRM;ПрофТехРесурс М;25/06/2009;04/06/2009;не выплач.;-;не выплач.;-;2009;04/06/2009;Интерфакс;7722563340
GMST;Главмосстрой ХК;19/06/2009;19/05/2009;не выплач.;-;не выплач.;-;2008;18/06/2009;ДКК;7710013494
SLME;Славнефть-Мегионнефтегазгеология;25/06/2009;08/05/2009;не выплач.;2,76 ;не выплач.;2,76 ;2008;16/04/2009;Интерфакс;8605005954
GMSH;Гидромаш;30/05/2009;16/04/2009;-;-;не выплач.;-;2008;15/04/2009;ДКК;5262008630
GMEF;Горячеключевская мебельная фабрика;29/05/2009;27/04/2009;-;-;-;-;2008;08/05/2009;ДКК;2305000707
GIKX;Гиагинский комбинат хлебопродуктов;30/06/2009;25/05/2009;-;-;-;-;2008;29/05/2009;ДКК;101000825
FING;ФИНГО;25/06/2009;14/05/2009;-;-;не выплач.;не выплач.;2008;29/05/2009;ДКК;7609001719
GGOK;Гайский ГОК;26/06/2009;11/05/2009;-;-;не выплач.;-;2008;07/05/2009;Интерфакс;5604000700
